d,state,rounds_pre,rounds_ls,routing_mult,p,decoder,num_qubits,num_detectors,num_observables,shots,errors,logical_error_rate,build_time_sec,decoding_time_sec
7,Z,7,7,4,0.002,pymatching,1079,7266,1,150000,210,0.0014,2.82,16.53
7,Z,7,7,16,0.0005,pymatching,3263,14826,1,14000000,100,7.142857142857143e-06,116.75,234.3
7,Z,7,7,4,0.005,pymatching,1079,7266,1,80000,7979,0.0997375,2.82,24.54
7,Z,7,7,16,0.001,pymatching,3263,14826,1,680000,113,0.0001661764705882353,116.75,32.05
7,Z,7,7,16,0.002,pymatching,3263,14826,1,100000,298,0.00298,116.75,35.56
7,Z,7,7,16,0.001,pymatching,3263,14826,1,730000,108,0.00014794520547945205,112.92,37.57
7,Z,7,7,16,0.005,pymatching,3263,14826,1,80000,14355,0.1794375,116.75,22.04
7,X,7,7,12,0.001,pymatching,2535,12306,1,190000,155,0.0008157894736842105,49.77,44.08
7,Z,7,7,12,0.001,pymatching,2535,12306,1,840000,107,0.00012738095238095238,51.06,56.59
7,Z,7,7,8,0.0005,pymatching,1807,9786,1,19860000,100,5.035246727089627e-06,12.64,224.3
7,Z,7,7,8,0.001,pymatching,1807,9786,1,1150000,109,9.478260869565218e-05,12.64,36.56
7,Z,7,7,8,0.002,pymatching,1807,9786,1,120000,224,0.0018666666666666666,12.64,27.55
7,Z,7,7,8,0.005,pymatching,1807,9786,1,80000,10224,0.1278,12.64,29.55
7,X,7,7,20,0.001,pymatching,3991,17346,1,150000,190,0.0012666666666666666,215.73,33.06
7,Z,7,7,20,0.001,pymatching,3991,17346,1,560000,115,0.00020535714285714287,213.15,35.56
7,X,7,7,24,0.001,pymatching,4719,19866,1,140000,215,0.0015357142857142857,364.4,30.55
7,Z,7,7,24,0.001,pymatching,4719,19866,1,540000,117,0.00021666666666666666,352.36,42.57
7,X,7,7,32,0.001,pymatching,6175,24906,1,120000,262,0.002183333333333333,791.66,20.04
7,Z,7,7,32,0.001,pymatching,6175,24906,1,500000,115,0.00023,825.24,35.57
