gate,protocol,sub_experiment,init_basis,measure_basis,d,rounds,p,shots,post_selected_shots,post_selection_rate,errors,logical_error_rate,seconds,decoder,figure
CNOT_LS_ZZ_XX,ZZ-XX,XZ_XX,XZ,XX,7,7,0.0005,52790000,52790000,1.0,100,1.8942981625307823e-06,181.27615400613288,pymatching,1
CNOT_LS_ZZ_XX,ZZ-XX,XZ_XX,XZ,XX,3,3,0.002,10000,10000,1.0,227,0.0227,73.63488475908525,pymatching,1
CNOT_LS_ZZ_XX,ZZ-XX,XZ_XX,XZ,XX,7,7,0.001,2580000,2580000,1.0,105,4.069767441860465e-05,80.62889423011802,pymatching,1
CNOT_LS_ZZ_XX,ZZ-XX,XZ_XX,XZ,XX,3,3,0.005,10000,10000,1.0,1261,0.1261,75.13537478004582,pymatching,1
CNOT_LS_ZZ_XX,ZZ-XX,XZ_XX,XZ,XX,7,7,0.002,270000,270000,1.0,234,0.0008666666666666,68.11496301088482,pymatching,1
CNOT_LS_ZZ_XX,ZZ-XX,XZ_XX,XZ,XX,3,3,0.01,10000,10000,1.0,3414,0.3414,66.10676359687932,pymatching,1
CNOT_LS_ZZ_XX,ZZ-XX,XZ_XX,XZ,XX,7,7,0.005,160000,160000,1.0,9644,0.060275,66.60655574104749,pymatching,1
CNOT_LS_ZZ_XX,ZZ-XX,XZ_XX,XZ,XX,5,5,0.0005,1600000,1600000,1.0,109,6.8125e-05,71.62997320783325,pymatching,1
CNOT_LS_ZZ_XX,ZZ-XX,XZ_XX,XZ,XX,7,7,0.01,160000,160000,1.0,73509,0.45943125,75.12613113597035,pymatching,1
CNOT_LS_ZZ_XX,ZZ-XX,XZ_XX,XZ,XX,5,5,0.001,250000,250000,1.0,132,0.000528,51.58731455588713,pymatching,1
CNOT_LS_ZZ_XX,ZZ-XX,XZ_XX,XZ,XX,5,5,0.002,30000,30000,1.0,154,0.0051333333333333,37.07667028903961,pymatching,1
CNOT_LS_ZZ_XX,ZZ-XX,XZ_XX,XZ,XX,5,5,0.005,50000,50000,1.0,4545,0.0909,36.57688859500922,pymatching,1
CNOT_LS_ZZ_XX,ZZ-XX,XZ_XX,XZ,XX,5,5,0.01,140000,140000,1.0,57983,0.4141642857142857,51.59437314001843,pymatching,1
CNOT_LS_ZZ_XX,ZZ-XX,XZ_ZZ,XZ,ZZ,3,3,0.0005,70000,70000,1.0,110,0.0015714285714285,54.09411576297134,pymatching,1
CNOT_LS_ZZ_XX,ZZ-XX,XZ_ZZ,XZ,ZZ,7,7,0.0005,76330000,76330000,1.0,100,1.310100877767588e-06,247.36735037481407,pymatching,1
CNOT_LS_ZZ_XX,ZZ-XX,XZ_ZZ,XZ,ZZ,3,3,0.001,20000,20000,1.0,121,0.00605,68.11948827281594,pymatching,1
CNOT_LS_ZZ_XX,ZZ-XX,XZ_ZZ,XZ,ZZ,7,7,0.001,3340000,3340000,1.0,101,3.023952095808383e-05,57.60839017503895,pymatching,1
CNOT_LS_ZZ_XX,ZZ-XX,XZ_ZZ,XZ,ZZ,3,3,0.002,10000,10000,1.0,239,0.0239,69.10689030005597,pymatching,1
CNOT_LS_ZZ_XX,ZZ-XX,XZ_ZZ,XZ,ZZ,7,7,0.002,290000,290000,1.0,211,0.0007275862068965,59.608174910070375,pymatching,1
CNOT_LS_ZZ_XX,ZZ-XX,XZ_ZZ,XZ,ZZ,3,3,0.005,10000,10000,1.0,1136,0.1136,97.15576909692028,pymatching,1
CNOT_LS_ZZ_XX,ZZ-XX,XZ_ZZ,XZ,ZZ,7,7,0.005,50000,50000,1.0,2151,0.04302,97.6527488140855,pymatching,1
CNOT_LS_ZZ_XX,ZZ-XX,XZ_ZZ,XZ,ZZ,3,3,0.01,10000,10000,1.0,3009,0.3009,79.13685423694551,pymatching,1
CNOT_LS_ZZ_XX,ZZ-XX,XZ_ZZ,XZ,ZZ,7,7,0.01,160000,160000,1.0,67078,0.4192375,85.63767596706748,pymatching,1
CNOT_LS_ZZ_XX,ZZ-XX,XZ_ZZ,XZ,ZZ,5,5,0.0005,1860000,1860000,1.0,100,5.3763440860215054e-05,101.16581050609238,pymatching,1
CNOT_LS_ZZ_XX,ZZ-XX,XZ_ZZ,XZ,ZZ,5,5,0.001,260000,260000,1.0,105,0.0004038461538461,83.64816414285451,pymatching,1
CNOT_LS_ZZ_XX,ZZ-XX,XX_XX,XX,XX,7,7,0.0005,37860000,37860000,1.0,101,2.6677231907025884e-06,191.28376820799892,pymatching,1
CNOT_LS_ZZ_XX,ZZ-XX,XZ_ZZ,XZ,ZZ,5,5,0.002,30000,30000,1.0,114,0.0038,98.16437282506377,pymatching,1
CNOT_LS_ZZ_XX,ZZ-XX,XX_XX,XX,XX,7,7,0.001,2030000,2030000,1.0,107,5.270935960591133e-05,91.64357017306612,pymatching,1
CNOT_LS_ZZ_XX,ZZ-XX,XZ_ZZ,XZ,ZZ,5,5,0.005,10000,10000,1.0,746,0.0746,95.66582811600529,pymatching,1
CNOT_LS_ZZ_XX,ZZ-XX,XX_XX,XX,XX,7,7,0.002,170000,170000,1.0,191,0.0011235294117647,89.13193117501214,pymatching,1
CNOT_LS_ZZ_XX,ZZ-XX,XZ_ZZ,XZ,ZZ,5,5,0.01,20000,20000,1.0,7631,0.38155,79.1240285250824,pymatching,1
CNOT_LS_ZZ_XX,ZZ-XX,XX_XX,XX,XX,7,7,0.005,20000,20000,1.0,1662,0.0831,77.623446457088,pymatching,1
CNOT_LS_ZZ_XX,ZZ-XX,XX_XX,XX,XX,3,3,0.0005,40000,40000,1.0,127,0.003175,76.62562060309574,pymatching,1
CNOT_LS_ZZ_XX,ZZ-XX,XX_XX,XX,XX,7,7,0.01,160000,160000,1.0,100750,0.6296875,82.86108640790917,pymatching,1
CNOT_LS_ZZ_XX,ZZ-XX,XX_XX,XX,XX,3,3,0.001,20000,20000,1.0,180,0.009,66.1209019399248,pymatching,1
CNOT_LS_ZZ_XX,ZZ-XX,XX_XX,XX,XX,3,3,0.002,10000,10000,1.0,363,0.0363,63.1006504339166,pymatching,1
CNOT_LS_ZZ_XX,ZZ-XX,XX_XX,XX,XX,3,3,0.005,20000,20000,1.0,3467,0.17335,64.61936266999692,pymatching,1
CNOT_LS_ZZ_XX,ZZ-XX,XX_XX,XX,XX,3,3,0.01,10000,10000,1.0,4535,0.4535,63.60705343005248,pymatching,1
CNOT_LS_ZZ_XX,ZZ-XX,XX_XX,XX,XX,5,5,0.0005,930000,930000,1.0,101,0.0001086021505376,71.61042194603942,pymatching,1
CNOT_LS_ZZ_XX,ZZ-XX,XX_XX,XX,XX,5,5,0.001,170000,170000,1.0,128,0.0007529411764705,63.62044207495637,pymatching,1
CNOT_LS_ZZ_XX,ZZ-XX,XX_XX,XX,XX,5,5,0.002,50000,50000,1.0,341,0.00682,59.60983432410285,pymatching,1
CNOT_LS_ZZ_XX,ZZ-XX,XX_XX,XX,XX,5,5,0.005,30000,30000,1.0,3634,0.1211333333333333,68.62682470399886,pymatching,1
CNOT_LS_ZZ_XX,ZZ-XX,XX_XX,XX,XX,5,5,0.01,10000,10000,1.0,5644,0.5644,66.6059967619367,pymatching,1
