injection_protocol,inject_state,post_select_mode,d,rounds,p,shots,post_selected_shots,post_selection_rate,errors,logical_error_rate,seconds,decoder
middle,Y,full_qec,7,2,0.0001,110000,110000,1.0,203,0.0018454545454545,32.63527023792267,pymatching
middle,Y,full_qec,7,2,0.0002,50000,50000,1.0,208,0.00416,34.62755394098349,pymatching
middle,Y,full_qec,7,2,0.0005,20000,20000,1.0,214,0.0107,36.11992114898749,pymatching
middle,Y,full_qec,7,2,0.001,20000,20000,1.0,371,0.01855,33.11325749079697,pymatching
middle,Y,full_qec,7,2,0.002,10000,10000,1.0,382,0.0382,35.15322927501984,pymatching
middle,Y,full_qec,7,2,0.005,10000,10000,1.0,1169,0.1169,34.6376208208967,pymatching
middle,Y,full_qec,7,2,0.01,10000,10000,1.0,2380,0.238,33.14008973212913,pymatching
middle,Y,hybrid,3,2,0.0001,530000,524605,0.9898207547169812,203,0.0003869578063495,33.62687070784159,pymatching
middle,Y,hybrid,3,2,0.0002,270000,264543,0.9797888888888888,200,0.00075602076033,33.6256009710487,pymatching
middle,Y,hybrid,3,2,0.0005,110000,104473,0.9497545454545454,217,0.0020770916887616,35.64960807701573,pymatching
middle,Y,hybrid,3,2,0.001,50000,45056,0.90112,201,0.0044611150568181,35.63078077486716,pymatching
middle,Y,hybrid,3,2,0.002,30000,24330,0.811,217,0.0089190300041101,32.63531009689905,pymatching
middle,Y,hybrid,3,2,0.005,20000,11895,0.59475,257,0.0216057166876839,33.63477441901341,pymatching
middle,Y,hybrid,3,2,0.01,20000,7191,0.35955,345,0.047976637463496,34.11073461081833,pymatching
middle,Y,hybrid,5,2,0.0001,520000,507269,0.9755173076923076,203,0.000400182151876,33.10345417796634,pymatching
middle,Y,hybrid,5,2,0.0002,250000,237883,0.951532,203,0.0008533606857152,34.10709038400091,pymatching
middle,Y,hybrid,5,2,0.0005,130000,114862,0.8835538461538461,238,0.0020720516794065,33.13914028904401,pymatching
middle,Y,hybrid,5,2,0.001,70000,54607,0.7801,224,0.0041020382002307,32.15763300913386,pymatching
middle,Y,hybrid,5,2,0.002,50000,30637,0.61274,258,0.0084211900643013,32.104380967095494,pymatching
middle,Y,hybrid,5,2,0.005,40000,11637,0.290925,232,0.019936409727593,34.130747062852606,pymatching
middle,Y,hybrid,5,2,0.01,50000,4484,0.08968,228,0.0508474576271186,33.631862985901535,pymatching
middle,Y,hybrid,7,2,0.0001,450000,432617,0.9613711111111112,201,0.0004646141968531,34.10591192403808,pymatching
middle,Y,hybrid,7,2,0.0002,280000,258663,0.9237964285714284,207,0.0008002690759791,34.12367201503366,pymatching
middle,Y,hybrid,7,2,0.0005,130000,106617,0.8201307692307692,216,0.0020259433298629,32.133706199005246,pymatching
middle,Y,hybrid,7,2,0.001,80000,54126,0.676575,206,0.0038059343014447,33.63816682505421,pymatching
middle,Y,hybrid,7,2,0.002,60000,27327,0.45545,224,0.0081970212610238,34.64044078020379,pymatching
middle,Y,hybrid,7,2,0.005,70000,9995,0.1427857142857143,212,0.0212106053026513,33.10650286800228,pymatching
middle,Y,hybrid,7,2,0.01,180000,3780,0.021,206,0.0544973544973544,34.636073717148975,pymatching
