scheduling,basis,distance,p,shots,errors,logical_error_rate,seconds,decoder,code,n_data,n_total,k,figure
swapped,Z,3,0.002,10000,178,0.0178,40.11022847308777,pymatching,rotated_sc,9,17,1,4
perpendicular,X,9,0.0005,432430000,50,1.156256503942835e-07,106.1930844790768,pymatching,rotated_sc,81,161,1,4
swapped,Z,3,0.001,10000,96,0.0096,70.14915100578219,pymatching,rotated_sc,9,17,1,4
swapped,Z,7,0.007,10000,640,0.064,61.632769736927,pymatching,rotated_sc,49,97,1,4
swapped,Z,3,0.0007,10000,53,0.0053,69.15826307679527,pymatching,rotated_sc,9,17,1,4
swapped,Z,7,0.005,10000,237,0.0237,68.64350793301128,pymatching,rotated_sc,49,97,1,4
swapped,Z,3,0.0005,10000,54,0.0054,65.64855813398026,pymatching,rotated_sc,9,17,1,4
swapped,Z,7,0.002,30000,51,0.0017,65.71405364503153,pymatching,rotated_sc,49,97,1,4
swapped,Z,5,0.007,10000,630,0.063,67.64219321496785,pymatching,rotated_sc,25,49,1,4
swapped,Z,7,0.001,230000,52,0.0002260869565217,67.68398562679067,pymatching,rotated_sc,49,97,1,4
swapped,Z,7,0.0007,470000,52,0.0001106382978723,72.17872908408754,pymatching,rotated_sc,49,97,1,4
swapped,Z,5,0.005,10000,269,0.0269,72.64914874499664,pymatching,rotated_sc,25,49,1,4
swapped,Z,7,0.0005,1400000,52,3.714285714285714e-05,72.14302364503965,pymatching,rotated_sc,49,97,1,4
swapped,Z,5,0.002,20000,71,0.00355,72.26022156281397,pymatching,rotated_sc,25,49,1,4
swapped,Z,5,0.001,60000,65,0.0010833333333333,70.70232035196386,pymatching,rotated_sc,25,49,1,4
swapped,Z,9,0.007,10000,591,0.0591,71.14161491300911,pymatching,rotated_sc,81,161,1,4
swapped,Z,9,0.005,30000,567,0.0189,69.20110700419173,pymatching,rotated_sc,81,161,1,4
swapped,Z,5,0.0007,120000,54,0.00045,69.65168265602551,pymatching,rotated_sc,25,49,1,4
swapped,Z,9,0.002,110000,59,0.0005363636363636,70.63893472705968,pymatching,rotated_sc,81,161,1,4
swapped,Z,5,0.0005,240000,50,0.0002083333333333,70.71714978385717,pymatching,rotated_sc,25,49,1,4
swapped,X,3,0.007,10000,726,0.0726,68.76662452192977,pymatching,rotated_sc,9,17,1,4
swapped,Z,9,0.001,1150000,50,4.347826086956522e-05,69.13889425504021,pymatching,rotated_sc,81,161,1,4
swapped,X,3,0.005,10000,511,0.0511,67.63459851196967,pymatching,rotated_sc,9,17,1,4
swapped,Z,9,0.0007,4490000,53,1.180400890868597e-05,68.15271674795076,pymatching,rotated_sc,81,161,1,4
swapped,X,3,0.002,10000,165,0.0165,70.65054845204577,pymatching,rotated_sc,9,17,1,4
swapped,Z,9,0.0005,10240000,51,4.98046875e-06,71.14731147908606,pymatching,rotated_sc,81,161,1,4
swapped,X,3,0.001,10000,87,0.0087,72.18006893713027,pymatching,rotated_sc,9,17,1,4
swapped,X,7,0.007,10000,686,0.0686,71.13851424306631,pymatching,rotated_sc,49,97,1,4
swapped,X,3,0.0007,10000,57,0.0057,72.65450970409438,pymatching,rotated_sc,9,17,1,4
swapped,X,7,0.005,10000,259,0.0259,73.16321515501477,pymatching,rotated_sc,49,97,1,4
swapped,X,3,0.0005,20000,74,0.0037,70.63933194195852,pymatching,rotated_sc,9,17,1,4
swapped,X,7,0.002,30000,55,0.0018333333333333,69.64345464995131,pymatching,rotated_sc,49,97,1,4
swapped,X,5,0.007,10000,602,0.0602,69.64571662200615,pymatching,rotated_sc,25,49,1,4
swapped,X,7,0.001,240000,53,0.0002208333333333,69.65175263094716,pymatching,rotated_sc,49,97,1,4
swapped,X,5,0.005,10000,305,0.0305,71.1441199039109,pymatching,rotated_sc,25,49,1,4
swapped,X,7,0.0007,580000,52,8.96551724137931e-05,71.32953414483927,pymatching,rotated_sc,49,97,1,4
swapped,X,7,0.0005,1690000,51,3.017751479289941e-05,73.66816872986965,pymatching,rotated_sc,49,97,1,4
swapped,X,5,0.002,20000,103,0.00515,74.14670730102807,pymatching,rotated_sc,25,49,1,4
swapped,X,9,0.007,10000,774,0.0774,73.64725344209,pymatching,rotated_sc,81,161,1,4
swapped,X,5,0.001,50000,61,0.00122,74.23710433207452,pymatching,rotated_sc,25,49,1,4
swapped,X,9,0.005,10000,209,0.0209,74.14857501792721,pymatching,rotated_sc,81,161,1,4
swapped,X,5,0.0007,90000,54,0.0006,73.65325616206974,pymatching,rotated_sc,25,49,1,4
swapped,X,9,0.002,70000,55,0.0007857142857142,73.64144505816512,pymatching,rotated_sc,81,161,1,4
swapped,X,5,0.0005,180000,50,0.0002777777777777,73.69149645115249,pymatching,rotated_sc,25,49,1,4
swapped,X,9,0.001,1100000,53,4.818181818181818e-05,35.59975469415076,pymatching,rotated_sc,81,161,1,4
swapped,X,9,0.0007,4610000,56,1.2147505422993492e-05,38.60069205798209,pymatching,rotated_sc,81,161,1,4
swapped,X,9,0.0005,9200000,51,5.543478260869566e-06,38.60044524702244,pymatching,rotated_sc,81,161,1,4
